Collector ID,ID,Species,Leaf,Seeds,Cap,Photo,Herb,Date,Lat N,Long E,Altitude,Notes,Ø cap,h cap,Ø inv,h inv,Ø stem,Ø syn,h syn,Ø stem syn,Cap/Stem
LP1,FR0,Achillea millefolium ,X,,,,X,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP2,FR1a,Cirsium arvense ,X,,,,,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP3,FR1b,Leucanthemum adustum ,X,,,,,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP4,FR1c,Erigeron alpinus ,X,,,,,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP5,FR1d,Hieracium pilosella ,X,,,,,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP6,FR1e,Crepis sp ,,,,,,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP7,FR1f,Hieracium glaucopsis ,X,X,,,X,24/07/2016,44.33469,6.29546,,Uncertain determination; see determination note. Note on newspaper reads “Species A Site 1”; might be 8a,,,,,,,,,
LP8,FR2a,Hieracium glaucopsis ,X,X,,,X,24/07/2016,44.33469,6.29546,,Check determination note,,,,,,,,,
LP9,FR2b,Hieracium villosum ,X,X,,,X,24/07/2016,44.33469,6.29546,,"Mixed… One indeterminable, H. villosum size very anomalous. Check determination note. ",,,,,,,,,
LP10,FR3,Cirsium acaule ,X,,,,X,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP11,FR4,Tragopogon pratensis orientalis,X,,,,X,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP12,FR5,Centaurea uniflora ,X,,,,X,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP13,FR6,Carduus defloratus carlinifolius,X,,,,X,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP14,FR7,Aster alpinus ,X,X,,,X,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP15,FR8a,Hieracium sp ,X,,,,,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP16,FR8b,Hieracium sp ,,X,,,,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP17,FR8c,Hieracium sp ,,X,,,,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP18,FR8d,Erigeron alpinus ,,X,,,X,24/07/2016,44.33469,6.29546,,Check determination note; only one with ascertained 3 kinds of flowers,,,,,,,,,
LP19,FR8e,Hieracium villosum ,X,X,,,,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP20,FR8f,Pilosella officinarum ,X,,,,,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP21,FR8g,Leucanthemum adusttum cuneifolium,X,X,,,X,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP22,FR9,Carduus (litigiosus) ,,,,,X,24/07/2016,44.33469,6.29546,,,,,,,,,,,
LP23,FR10,Centaurea uniflora ,X,,,,,24/07/2016,44.33469,6.29546,,,,,,,,,,,
