"","ID_FloraAlpina","ID","SpeciesName","CompleteName","Repr_mode","Repr_mode_summ","GS","1C","Ploidy","Ploidy_summ","PloidyEvenOdd","Chr.number","GS_per_chrm","Altitude","elevation_Ozenda","Longevity","BiologicalForm","Endemic","Indigenous","Distribution","Sect_Occ","Collinaire","Montane","Subalpine","Alpine","Nival","Init.month","Tot.months","End.month","Phytosociology","Habitat","Ca","Ca.Si","Si","pH","N","Water","w"
"Inula_conyzae","124.16.11.0","IT85","Inula_conyzae","Inula conyzae (Griess.) Meikle","Sexual","Sexual",8.32,2.08,"4x","4x","Even",32,0.26,595,700,"b, v","H","N","Y","Eurasiat./N-Afr.",51,2,2,0,0,0,6,5,10,"Origanetalia vulgaris","(2.1.2), 2.6, (3.2, 6.2), 6.7, 7.4.2, 9.1.1, 9.2.4, 9.3",2,1,0,"bas","low","Dry",0
"Inula_helvetica","124.16.2.0","FR522","Inula_helvetica","Inula helvetica Weber","Sexual","Sexual",4.54,2.27,"2x","2x","Even",16,0.28375,1440,583.333333333333,"v","H","N","Y","SW-Eur.",10,2,1,0,0,0,7,3,9,"Convolvuletalia sepium","2.3, 2.5.1, (5.1, 6.3.2),7.2, (7.5, 9.2.2)",2,2,1,"bas","med","Wet",1
"Inula_bifrons","124.16.12.0","FR143","Inula_bifrons","Inula bifrons (L.) L.","Sexual","Sexual",5.07,2.535,"2x","2x","Even",16,0.316875,1172,910,"b, v","H","N","Y","S-Eur.",9,2,2,1,0,0,7,3,9,"Geranion sanguinei","2.1, (2.2, 3.2, 3.3), 6.2, 6.7, 7.4.2, 9.3",2,2,1,"bas","low","Dry",0
"Antennaria_dioica","124.12.1.0","FR243","Antennaria_dioica","Antennaria dioica (L.) Gaertn.","Sexual","Sexual",7.3805,1.845125,"4x","4x","Even",28,0.263589285714286,2183.66666666667,1633.33333333333,"v","C","N","Y","Eurosib./N-Am.",55,1,1,2,2,0,6,3,8,"Nardetea strictae","(2.6, 3.1, 3.3, 6.2, 6.3.2), 6.4, 6.5, 7.1, 9.1.1, 9.1.2, (9.2.4)",1,2,2,"aci","low","Dry",0
"Gnaphalium_sylvaticum","124.10.1.0","FR684","Gnaphalium_sylvaticum","Gnaphalium sylvaticum L.","Sexual","Sexual",4.26,0.5325,"8x","Poly","Even",56,0.0760714285714286,2178,1400,"v","H","N","Y","Eurosib./N-Am.",52,1,2,2,1,0,6,4,9,"Epilobietea angustifolii","2.6, 6.4, 7.1, (7.2. 9.1.1?)",1,2,2,"aci","med","Average",0
"Helichrysum_italicum","124.11.2.0","FR730","Helichrysum_italicum","Helichrysum italicum (Roth) G. Don","Sexual","Sexual",2.98,0.745,"4x","4x","Even",28,0.106428571428571,659,350,"t","C","N","Y","S-Eur.",2,2,0,0,0,0,6,2,7,"NEO_Rosmarinetea","3.2, (3.3), 6.2, 7.3",2,2,2,"bas","low","veryDry",0
"Antennaria_carpatica","124.12.2.0","FR293","Antennaria_carpatica","Antennaria carpatica (Wahlenb.) Bluff & Fingerh.","Sexual","Sexual",17.263,2.157875,"8x","Poly","Even",56,0.308267857142857,2528,1925,"v","H","N","Y","S-Eur.-Mont.",44,0,1,1,2,0,6,3,8,"Oxytropido-Elynion","(3.2), 6.5, (7.1)",2,2,2,"neu","low","Dry",0
"Leontopodium_nivale_subsp._alpinum","124.13.1.0","IT100a","Leontopodium_nivale_subsp._alpinum","Leontopodium alpinum Cass.","Sexual","Sexual",4.02633333333333,1.00658333333333,"4x","4x","Even",24,0.167763888888889,1952.33333333333,1633.33333333333,"v","H","N","Y","S-Eur.-Mont.",48,1,1,2,2,0,7,3,9,"Seslerion variae","(2.5, 3.2, 3.3), 6.5, (9.1.2)",2,1,0,"bas","low","Dry",0
"Inula_montana","124.16.10.0","FR193","Inula_montana","Inula montana L.","Sexual","Sexual",3.5,1.75,"2x","2x","Even",16,0.21875,1380,910,"v","H","N","Y","Medit.",15,2,2,1,0,0,6,3,8,"Ononidetalia","(2.5.2), 3.2, (3.3), 6.2, 6.7",2,2,0,"bas","low","veryDry",0
"Buphthalmum_salicifolium","124.19.1.0","A9","Buphthalmum_salicifolium","Buphthalmum salicifolium L.","Sexual","Sexual",5.278,2.639,"2x","2x","Even",20,0.2639,1074.8,1050,"v","H","N","Y","S-Eur.-Mont.",54,2,2,2,0,0,6,4,9,"Geranion sanguinei","(3.2, 3.3, 5.1), 6.2, (6.3.2, 6.5.1), 6.7, (7.1, 7.4.2, 8.2, 9.1.1, 9.2.3), 9.3",2,2,1,"bas","low","Dry",1
"Solidago_virgaurea","124.2.1.2","FR341","Solidago_virgaurea","Solidago virgaurea subsp. minuta (L.) Arcang.","Sexual","Sexual",2.5265,1.26325,"2x","2x","Even",18,0.140361111111111,2112.33333333333,1890,"v","H","N","Y","Eur.-Mont.",42,0,1,2,2,0,7,4,10,"Juncetea trifidi","(2.5, 3.3, 6.3.1), 6.5, 7.1, (7.2, 8.2)",2,2,2,"aci","med","Average",0
"Xerolekia_speciosissima","124.20.2.0","IT98","Xerolekia_speciosissima","Telekia speciosissima (L.) Less.","Sexual","Sexual",3.07,1.535,"2x","2x","Even",20,0.1535,801,1050,"v","H","Y","Y","E-Alp.",4,2,2,2,0,0,6,2,7,"Physoplexido-Potentillenion caulescentis","3.2, 3.3, 6.2, (7.4.2)",2,0,0,"bas","low","Dry",0
"Solidago_virgaurea_subsp._minuta","124.2.1.2","FR458","Solidago_virgaurea_subsp._minuta","Solidago virgaurea subsp. minuta (L.) Arcang.","Sexual","Sexual",2.58,1.29,"2x","2x","Even",18,0.143333333333333,2553,1890,"v","H","N","Y","Eur.-Mont.",42,0,1,2,2,0,7,4,10,"Juncetea trifidi","(2.5, 3.3, 6.3.1), 6.5, 7.1, (7.2, 8.2)",2,2,2,"aci","med","Average",0
"Xanthium_italicum","124.27.2.0","IT81","Xanthium_italicum","Xanthium italicum Moretti","Sexual","Sexual",4.87,1.2175,"4x","4x","Even",36,0.135277777777778,345,350,"a","T","N","N","?(-Subcosmop.)",16,2,0,0,0,0,7,4,10,"NEO_Bidentetea tripartitae","(2.1), 2.2, 2.5",2,2,2,"neu","hig","Average",0
"Bidens_bipinnata","124.23.5.0","IT75","Bidens_bipinnata","Bidens bipinnata L.","Sexual","Sexual",10.24,1.70666666666667,"6x","Poly","Even",72,0.142222222222222,145,350,"a","T","N","N","N-Am./E-Asiat.",20,2,0,0,0,0,7,3,9,"NEO_Stellarienea mediae","2.1, 2.2, (3.2, 7.4.2)",2,2,2,"neu","hig","Average",1
"Inula_salicina","124.16.4.0","FR185","Inula_salicina","Inula salicina L.","Sexual","Sexual",3.73,1.865,"2x","2x","Even",16,0.233125,1380,700,"v","H","N","Y","Eurasiat.",48,2,2,0,0,0,6,4,9,"Molinion","1.4, (2.6), 5.1, 6.2, 6.3.2, 6.7, (7.4.2, 9.1.1, 9.2.2, 9.3)",2,2,1,"bas","low","Average",1
"Pulicaria_dysenterica","124.17.2.0","MB94","Pulicaria_dysenterica","Pulicaria dysenterica (L.) Bernh.","Sexual","Sexual",2.135,1.0675,"2x","2x","Even",18,0.118611111111111,339.5,700,"v","H","N","Y","Medit.",50,2,2,0,0,0,7,4,10,"Potentillo-Polygonetalia","1.4, (2.2), 2.5.1, 6.3.2, 7.2, (9.2.2)",2,2,2,"neu","med","Wet",1
"Inula_spiraefolia","124.16.5.0","FR727","Inula_spiraefolia","Inula spiraeifolia L.","Sexual","Sexual",3.26,1.63,"2x","2x","Even",16,0.20375,609,700,"v","H","N","Y","S-Eur.",22,2,2,0,0,0,6,4,9,"Geranion sanguinei","3.1, 3.2, (3.5), 6.2, 6.7, 7.4.2, 9.3",2,1,0,"bas","low","veryDry",0
"Galinsoga_parviflora","124.28.1.0","IT74","Galinsoga_parviflora","Galinsoga parviflora Cav.","Sexual","Sexual",4.39,2.195,"2x","2x","Even",16,0.274375,145,583.333333333333,"a","T","N","N","S-Am.(-Cosmop.)",44,2,1,0,0,0,5,6,10,"Panico-Setarion","2.1.1, 2.2, 2.7",1,2,2,"aci","hig","Average",0
