ID_FloraAlpina;ID_Family;Family;ID_Genus;Genus;ID_Species;Species;ID_Subspecies;Subspecies;Longevity;BiologicalForm;Endemic;Indigenous;Distribution;CompleteName;Phenology_Jan;Phenology_Feb;Phenology_Mar;Phenology_Apr;Phenology_May;Phenology_Jun;Phenology_Jul;Phenology_Aug;Phenology_Sep;Phenology_Oct;Phenology_Nov;Phenology_Dec;Collinaire;Montane;Subalpine;Alpine;Nival;A_B;A_K;A_N;A_NT;A_O;A_OT;A_S;A_ST;A_V;CH_AP;CH_BE;CH_FR;CH_GL;CH_GR;CH_LU;CH_SG;CH_SZ;CH_TI;CH_UR;CH_UW;CH_VD;CH_VS;D_OB;D_SW;F_04;F_05;F_06;F_26;F_38;F_73;F_74;F_83;F_84;FL;I_AO;I_BG;I_BL;I_BS;I_BZ;I_CN;I_CO;I_IM;I_NO;I_PN;I_SO;I_SV;I_TN;I_TO;I_TV;I_UD;I_VA;I_VC;I_VI;I_VR;SLO;Phytosociology;Habitat;Ca;Ca/Si;Si;VeryDry;Dry;Average;Wet;Aquatic;w;f1;f2;f3;f4;f5;f6;f7;f8;f9
124.1.1;124;Asteraceae               ;1;Eupatorium;1;cannabinum;;;v;H;N;Y;Eurasiat.;Eupatorium cannabinum L.;;;;;;;x;x;x;;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Convolvuletalia sepium);(1.3, 1.4, 2.1.2, 2.2), 2.5.1, (2.6, 4.2, 5.1, 6.3.2), 7.2, (9.2.1, 9.2.2);2;2;1;0;0;1;2;1;0;0;2;4;0;1;2;0;0;0
124.2.2;124;Asteraceae               ;2;Solidago;2;canadensis;;;v;H;N;N;N-Am.;Solidago canadensis L.;;;;;;;x;x;x;;;;2;1;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;;;;+;+;+;;;+;;+;+;+;+;;+;;+;+;+;;+;;;+;+;;+;+;+; - [Artemisietea vulgaris];"1.4, 2.2, 2.5.1, 2.6, (2.7, 5.1, 9.2.2); 2.9.2";2;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.2.3;124;Asteraceae               ;2;Solidago;3;gigantea;;;v;H;N;N;N-Am.;Solidago gigantea Aiton;;;;;;;x;x;x;;;;2;1;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;;;+;+;+;;;+;+;+;+;+;+;;+;;+;+;+;;+;+;+;+;+;+;+;+;+; - [Convolvulion sepium];"1.3, 1.4, 2.2, 2.5.1, (2.6, 3.5), 9.2.2; 2.9.2";2;2;2;0;0;1;2;0;1;1;2;1;2;4;2;1;2;1
124.2.4;124;Asteraceae               ;2;Solidago;4;graminifolia;;;v;H;N;N;N-Am.;Solidago graminifolia (L.) Salisb.;;;;;;;x;x;x;;;;2;0;0;0;0;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;+;-;-;-;;;;-;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - [Convolvulion sepium];"1.3, 1.4, (2.2), 2.5.1, (2.6, 3.5), 9.2.2; 2.9.2";2;1;0;0;0;1;2;0;1;0;2;4;0;1;2;0;0;0
124.2.1.1;124;Asteraceae               ;2;Solidago;1;virgaurea;1;virgaurea;v;H;N;Y;Eurosib./N-Am.;Solidago virgaurea L. subsp. virgaurea;;;;;;;x;x;x;x;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Carpino-Fagetea sylvaticae);(2.2, 2.5.2), 2.6, (6.4), 6.7, 7.2, 7.4.2, (9.1.1), 9.1.2, (9.2.2), 9.2.3, 9.2.4, 9.2.5, 9.3;2;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.2.1.2;124;Asteraceae               ;2;Solidago;1;virgaurea;2;minuta;v;H;N;Y;Eur.-Mont.;Solidago virgaurea subsp. minuta (L.) Arcang.;;;;;;;x;x;x;x;;;0;1;2;2;0;-;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;;;+;;+;;+;;;+;;;-;;+;(Juncetea trifidi);(2.5, 3.3, 6.3.1), 6.5, 7.1, (7.2, 8.2);2;2;2;0;1;2;1;0;0;0;0;0;1;2;1;2;4;2
124.3.1;124;Asteraceae               ;3;Bellis;1;perennis;;;v;H;N;Y;Eur.;Bellis perennis L.;x;x;x;x;x;x;x;x;x;x;x;x;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;(Cynosurion);(2.1.2, 2.2, 2.6), 2.7, 2.8, 6.3.1;2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.5.1;124;Asteraceae               ;5;Callistephus;1;chinensis;;;a;T;N;N;E-Asiat.;Callistephus chinensis (L.) Nees;;;;;;;x;x;x;;;;2;2;0;0;0;-;+;-;-;-;-;-;+;+;;-;;;;;;;;;;;;-;-;-;-;-;-;-;-;+;-;-;+;-;;-;-;+;;+;;;;-;;-;+;;;;;-;-;-; - [Stellarietea mediae];"2.2, (2.5.2, 2.7); 2.9.2";2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.4.6;124;Asteraceae               ;4;Aster;6;alpinus;;;v;H;N;Y;Arct.-Alp.;Aster alpinus L.;;;;;;x;x;x;;;;;1;1;2;2;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;;+;+;+;+;(Elyno-Seslerietea variae);(3.2, 6.2), 6.5, (7.1, 9.1.1);2;2;2;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.4.5;124;Asteraceae               ;4;Aster;5;amellus;;;v;H;N;Y;Eurasiat.;Aster amellus L.;;;;;;;x;x;x;;;;2;2;1;0;0;+;+;+;+;+;+;-;+;-;-;-;-;+;+;-;+;-;+;-;-;-;+;-;-;;;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;+;+;+;+;(Geranion sanguinei);"(2.2, 2.6), 6.2, (7.4.2, 9.1.1, 9.3); (2.9.2)";2;1;0;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.4.7;124;Asteraceae               ;4;Aster;7;bellidiastrum;;;v;H;N;Y;S-Eur.-Mont.;Aster bellidiastrum (L.) Scop.;;;;;x;x;;;;;;;1;2;2;1;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;(Elyno-Seslerietea variae);(3.2, 3.3), 4.1, (4.2), 5.1, 6.2, (8.2, 9.1.1, 9.2.3, 9.2.5?);2;2;1;0;1;2;1;0;1;4;2;0;2;1;0;0;0;0
124.4.2;124;Asteraceae               ;4;Aster;2;laevis;;;v;H;N;N;N-Am.;Aster laevis L.;;;;;;;;;x;x;x;;2;0;0;0;0;-;+;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;-;-;;-;-;-;-;; - [Artemisietea vulgaris];"2.2, 2.5.1, (7.1, 9.2.2); 2.9.2";2;2;2;0;1;2;1;0;1;0;1;2;0;2;4;0;1;2
124.4.9;124;Asteraceae               ;4;Aster;9;linosyris;;;v;H;N;Y;S-Eur.;Aster linosyris (L.) Bernh.;;;;;;;;x;x;;;;2;2;0;0;0;+;+;+;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;+;+;-;-;+;+;+;+;+;+;;;-;-;+;+;+;+;+;;+;;;-;-;;+;+;+;+;+;;+;+;-;(Festuco-Brometea);(2.2), 6.2, 6.7, (7.4.2, 9.1.1, 9.3);2;2;1;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.4.1;124;Asteraceae               ;4;Aster;1;novae-angliae;;;v;H;N;N;N-Am.;Aster novae-angliae L.;;;;;;;;x;x;x;;;2;0;0;0;0;-;+;-;+;-;-;-;+;-;-;+;-;-;;;-;-;+;-;;+;+;-;-;;+;;+;;-;+;;-;-;;+;+;-;+;-;-;-;-;+;-;-;+;-;+;+;-;-;-;;+; - [Convolvulion sepium];"(1.2.1, 1.3), 2.2, 2.5.1, 7.2, (7.4.2, 7.5, 9.2.2); 2.9.2";2;2;2;0;1;2;1;0;1;0;1;2;0;2;4;0;1;2
