"Genus...1","sp.","subsp....3","Flora Alpina ID","Genus...5","species","subsp....7","Genus...8","Name (Euro+Med)","Collector's ID","Next collection","Leaf","Seed","Cap","Photo","Herb","~2C","n individuals","Repr mode","2C (final)","SD","PLT","SDT","...24"
"31","22","0","124.31.22.0","Achillea","ageratum",NA,"1","Achillea ageratum","FR-609",NA,"X","X","X","X","X","6.49",NA,NA,"6.49","0.00","2.79","3.01",NA
"31","14","0","124.31.14.0","Achillea","aspleniifolia",NA,NA,"Achillea aspleniifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","4","0","124.31.4.0","Achillea","atrata",NA,NA,"Achillea atrata","Luca Pegoraro A-117",NA,"X",NA,NA,NA,NA,NA,NA,NA,"6.66","0.05","4.97","4.04",NA
"31","4","0","124.31.4.0","Achillea","atrata",NA,NA,"Achillea atrata","Luca Pegoraro A-74",NA,"X",NA,"X","X","X","6.75","5",NA,NA,NA,NA,NA,NA
"31","4","0","124.31.4.0","Achillea","atrata",NA,NA,"Achillea atrata","MB 87",NA,"X",NA,"X","X","X",NA,NA,NA,"6.86","0.00","2.54","2.40",NA
"31","4","0","124.31.4.0","Achillea","atrata",NA,NA,"Achillea atrata","Oriane Hidalgo (HB Lautaret)",NA,"X","X","X","X","X","6.79",NA,NA,"6.79","0.04","1.51","2.30",NA
"31","6","0","124.31.6.0","Achillea","clavennae",NA,NA,"Achillea clavennae","FR-592",NA,"X",NA,"X","X","X","18.65",NA,NA,"18.65","0.01","2.66","3.04",NA
"31","6","0","124.31.6.0","Achillea","clavennae",NA,NA,"Achillea clavennae","IT-102",NA,"X",NA,NA,NA,NA,"7.61","7",NA,NA,NA,NA,NA,NA
"31","6","0","124.31.6.0","Achillea","clavennae",NA,NA,"Achillea clavennae","Luca Pegoraro A-127",NA,"X","X",NA,NA,NA,"7.52","12","Sexual",NA,NA,NA,NA,NA
"31","6","0","124.31.6.0","Achillea","clavennae",NA,NA,"Achillea clavennae","Luca Pegoraro A-18",NA,"X",NA,"X","X","X","7.94","10",NA,"7.74","0.08","2.33","1.75",NA
"31","6","0","124.31.6.0","Achillea","clavennae",NA,NA,"Achillea clavennae","Luca Pegoraro A-34",NA,"X",NA,NA,NA,NA,"7.59","5",NA,"7.48","0.10","2.51","2.28",NA
"31","6","0","124.31.6.0","Achillea","clavennae",NA,NA,"Achillea clavennae","Luca Pegoraro A-71",NA,"X",NA,NA,NA,"X","7.43","11",NA,NA,NA,NA,NA,NA
"31","6","0","124.31.6.0","Achillea","clavennae",NA,NA,"Achillea clavennae","Luca Pegoraro CH-61",NA,"X",NA,NA,NA,NA,"7.81","9",NA,NA,NA,NA,NA,NA
"31","6","0","124.31.6.0","Achillea","clavennae",NA,NA,"Achillea clavennae","Manica Balant 13",NA,"X",NA,"?","X","X","7.40",NA,NA,"7.40","0.02","2.31","1.99",NA
"31","5","0","124.31.5.0","Achillea","clusiana",NA,NA,"Achillea clusiana","Oriane Hidalgo (HB Lautaret)",NA,"X","X","X","X","X","6.86",NA,NA,"6.86","0.06","2.16","2.39",NA
"31","17","0","124.31.17.0","Achillea","collina",NA,NA,"Achillea collina","HB Lautaret August",NA,"X",NA,NA,NA,NA,"11.13",NA,NA,"11.13","0.10","2.64","3.11",NA
"31","9","0","124.31.9.0","Achillea","distans",NA,NA,"Achillea distans","CH-172; double check FCM!",NA,"X","X","X","X","X",NA,NA,NA,"4.54","0.02","2.19","2.51",NA
"31","9","0","124.31.9.0","Achillea","distans",NA,NA,"Achillea distans","CH-172; double check FCM!",NA,"X","X","X","X","X","19.17","8","Fail?","18.75","0.28","6.01","6.43",NA
"31","9","0","124.31.9.0","Achillea","distans",NA,NA,"Achillea distans","Luca Pegoraro CH-53",NA,"X","X","X","X","X","7.60",NA,NA,"7.60","0.02","2.74","1.95",NA
"31","9","0","124.31.9.0","Achillea","distans",NA,NA,"Achillea distans","Oriane Hidalgo 338 (HB Lautaret)",NA,"X",NA,"X","X","X","15.59",NA,NA,"15.59","0.09","2.89","2.71",NA
"31","10","0","124.31.10.0","Achillea","stricta",NA,NA,"Achillea distans subsp. stricta","Oriane Hidalgo 339 (HB Lautaret)",NA,"X",NA,"X","X",NA,"15.73",NA,NA,"15.73","0.00","2.77","2.52",NA
"31","9","0","124.31.9.0","Achillea","distans","tanacetifolia",NA,"Achillea distans subsp. tanacetifolia","Rolland Douzet 08-07-2017",NA,"X",NA,"X","X","X","11.26",NA,NA,"11.26","0.04","2.32","2.14",NA
"31","2","1","124.31.2.1","Achillea","erba-rotta","erba-rotta",NA,"Achillea erba-rotta subsp. erba-rotta","FR-503",NA,"X","X","X","X","X","8.37","25",NA,"8.37","0.09","2.90","3.10",NA
"31","2","1","124.31.2.1","Achillea","erba-rotta","erba-rotta",NA,"Achillea erba-rotta subsp. erba-rotta","FR-673",NA,"X",NA,NA,NA,NA,"7.99","6","Sexual",NA,NA,NA,NA,NA
"31","2","3","124.31.2.3","Achillea","erba-rotta","ambigua",NA,"Achillea erba-rotta subsp. moschata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
