"","ID_FloraAlpina","SpeciesName","Average.elevation","Flowering.time..initiation.month.","Embryo.Ploidy.summ","Reproductive.mode","Repr_mode_summ","Apomixis_type"
"1","124.10.1.0","Gnaphalium_sylvaticum",1400,6,"Poly","Sexual","Sexual","Sexual"
"2","124.10.3.0","Gnaphalium_hoppeanum",2217,7,"4x","Sexual","Sexual","Sexual"
"3","124.10.4.0","Gnaphalium_supinum",2575,7,"4x","Sexual","Sexual","Sexual"
"4","124.10.6.0","Laphangium_luteoalbum",350,6,"2x","Sexual","Sexual","Sexual"
"5","124.1.1.0","Eupatorium_cannabinum",910,7,"2x","Sexual","Sexual","Apo-diplosporous"
"6","124.11.2.0","Helichrysum_italicum",350,6,"4x","Sexual","Sexual","Sexual"
"7","124.12.1.0","Antennaria_dioica",1633,6,"4x","Sexual","Sexual","Apo-diplosporous"
"8","124.12.2.0","Antennaria_carpatica",1925,6,"Poly","Sexual","Sexual","Apo-diplosporous"
"9","124.13.1.0","Leontopodium_nivale_subsp._alpinum",1633,7,"4x","Sexual","Sexual","Diplosporous"
"10","124.15.3.0","Phagnalon_saxatile",350,3,"2x","Sexual","Sexual","Sexual"
"11","124.16.10.0","Inula_montana",910,6,"2x","Sexual","Sexual","Sexual"
"12","124.16.1.0","Inula_helenium",700,7,"2x","Sexual","Sexual","Sexual"
"13","124.16.11.0","Inula_conyzae",700,6,"4x","Sexual","Sexual","Sexual"
"14","124.16.12.0","Inula_bifrons",910,7,"2x","Sexual","Sexual","Sexual"
"15","124.16.14.0","Dittrichia_graveolens",350,8,"2x","Sexual","Sexual","Sexual"
"16","124.16.2.0","Inula_helvetica",583,7,"2x","Sexual","Sexual","Sexual"
"17","124.16.4.0","Inula_salicina",700,6,"2x","Sexual","Sexual","Sexual"
"18","124.16.5.0","Inula_spiraefolia",700,6,"2x","Sexual","Sexual","Sexual"
"19","124.16.9.0","Inula_oculus-christi",350,6,"4x","Sexual","Sexual","Sexual"
"20","124.17.2.0","Pulicaria_dysenterica",700,7,"2x","Sexual","Sexual","Sexual"
"21","124.19.1.0","Buphthalmum_salicifolium",1050,6,"2x","Sexual","Sexual","Sexual"
"22","124.20.1.0","Telekia_speciosa",817,6,"2x","Sexual","Sexual","Sexual"
"23","124.20.2.0","Xerolekia_speciosissima",1050,6,"2x","Sexual","Sexual","Sexual"
"24","124.2.1.0","Solidago_virgaurea",1890,7,"2x","Sexual","Sexual","Uncertain"
"25","124.21.1.0","Pallenis_spinosa",700,6,"2x","Sexual","Sexual","Sexual"
"26","124.2.1.2","Solidago_virgaurea_subsp._minuta",1890,7,"2x","Sexual","Sexual","Uncertain"
"27","124.23.4.0","Bidens_frondosus",350,8,"4x","Sexual","Sexual","Sexual"
"28","124.23.5.0","Bidens_bipinnatus",350,7,"Poly","Sexual","Sexual","Sexual"
"29","124.25.2.0","Helianthus_tuberosus",350,8,"Poly","Sexual","Sexual","Uncertain"
"30","124.27.2.0","Xanthium_orientale_subsp._italicum",350,7,"4x","Sexual","Sexual","Sexual"
"31","124.28.1.0","Galinsoga_parviflora",583,5,"2x","Sexual","Sexual","Sexual"
"32","124.28.2.0","Galinsoga_quadriradiata",583,5,"4x","Sexual","Sexual","Sexual"
"33","124.30.7.1","Cota_tinctoria",910,6,"2x","Sexual","Sexual","Sexual"
"34","124.30.8.0","Cota_triumfettii",700,6,"2x","Sexual","Sexual","Sexual"
"35","124.3.1.0","Bellis_perennis",910,1,"2x","Sexual","Sexual","Sexual"
"36","124.31.1.0","Achillea_oxyloba",2183,7,"2x","Sexual","Sexual","Sexual"
"37","124.31.11.0","Achillea_millefolium",1250,5,"Poly","Sexual","Sexual","Sexual"
"38","124.31.19.0","Achillea_nobilis",350,7,"2x","Sexual","Sexual","Sexual"
"39","124.31.2.0","Achillea_erba-rotta",2100,7,"2x","Sexual","Sexual","Sexual"
"40","124.31.3.0","Achillea_nana",2575,7,"2x","Sexual","Sexual","Sexual"
"41","124.31.6.0","Achillea_clavennae",1890,6,"2x","Sexual","Sexual","Sexual"
"42","124.32.2.0","Tripleurospermum_inodorum",1050,6,"4x","Sexual","Sexual","Sexual"
"43","124.33.1.0","Matricaria_chamomilla",1050,5,"2x","Sexual","Sexual","Sexual"
"44","124.35.2.0","Tanacetum_corymbosum",700,6,"4x","Sexual","Sexual","Uncertain"
"45","124.35.3.0","Tanacetum_parthenium",700,6,"2x","Sexual","Sexual","Uncertain"
"46","124.35.4.0","Tanacetum_macrophyllum",817,6,"2x","Sexual","Sexual","Uncertain"
"47","124.37.1.0","Leucanthemopsis_alpina",2270,7,"2x","Sexual","Mixed","Sexual"
"48","124.39.2.0","Leucanthemum_adustum",1400,6,"Poly","Sexual","Sexual","Uncertain"
"49","124.39.5.0","Leucanthemum_pallens",700,5,"Poly","Sexual","Sexual","Uncertain"
"50","124.39.8.0","Leucanthemum_atratum",1890,7,"Poly","Sexual","Sexual","Uncertain"
"51","124.39.8.2","Leucanthemum_halleri",1925,7,"2x","Sexual","Sexual","Uncertain"
"52","124.39.8.3","Leucanthemum_coronopifolium",1890,7,"Poly","Sexual","Sexual","Uncertain"
"53","124.39.8.5","Leucanthemum_platylepis",700,7,"Poly","Sexual","Sexual","Uncertain"
"54","124.40.10.0","Artemisia_umbelliformis_subsp._umbelliformis",2575,7,"4x","Sexual","Sexual","Sexual"
"55","124.40.1.0","Artemisia_vulgaris",910,7,"2x","Sexual","Sexual","Sexual"
"56","124.40.11.0","Artemisia_nitida",1610,8,"Poly","Sexual","Sexual","Sexual"
"57","124.40.12.0","Artemisia_umbelliformis_subsp._eriantha",2100,6,"2x","Sexual","Sexual","Sexual"
"58","124.40.13.0","Artemisia_genipi",2410,7,"2x","Sexual","Sexual","Sexual"
"59","124.40.15.0","Artemisia_glacialis",2410,7,"2x","Sexual","Sexual","Sexual"
"60","124.40.3.0","Artemisia_absinthium",1050,7,"2x","Sexual","Sexual","Sexual"
"61","124.41.1.0","Tussilago_farfara",1250,2,"Poly","Sexual","Sexual","Sexual"
"62","124.42.1.0","Petasites_albus",1050,3,"2x","Sexual","Sexual","Uncertain"
"63","124.42.3.0","Petasites_paradoxus",1633,3,"4x","Sexual","Sexual","Uncertain"
"64","124.43.1.0","Homogyne_alpina",1921,5,"Poly","Sexual","Sexual","Sexual"
"65","124.43.2.0","Homogyne_discolor",1890,6,"4x","Sexual","Sexual","Sexual"
"66","124.43.3.0","Homogyne_sylvestris",1190,5,"4x","Sexual","Sexual","Sexual"
"67","124.4.4.0","Symphyotrichum_squamatum",350,9,"2x","Sexual","Sexual","Sexual"
"68","124.44.1.0","Adenostyles_alliariae",1750,6,"4x","Sexual","Sexual","Sexual"
"69","124.44.2.0","Adenostyles_alpina",1470,6,"4x","Sexual","Sexual","Sexual"
"70","124.44.3.0","Adenostyles_leucophylla",1890,7,"4x","Sexual","Sexual","Sexual"
"71","124.45.1.0","Arnica_montana",1633,6,"4x","Sexual","Sexual","Diplosporous"
"72","124.4.6.0","Aster_alpinus",1633,6,"2x","Sexual","Sexual","Sexual"
"73","124.46.1.0","Doronicum_austriacum",1190,6,"2x","Sexual","Sexual","Sexual"
"74","124.46.4.0","Doronicum_pardalianches",700,5,"2x","Sexual","Sexual","Sexual"
"75","124.46.6.0","Doronicum_grandiflorum",2575,7,"2x","Sexual","Sexual","Sexual"
"76","124.46.8.0","Doronicum_clusii",2100,7,"4x","Sexual","Sexual","Sexual"
"77","124.4.7.0","Bellidiastrum_michelii",1400,5,"2x","Sexual","Sexual","Sexual"
"78","124.48.10.0","Senecio_doria",910,7,"4x","Sexual","Sexual","Sexual"
"79","124.48.14.0","Senecio_doronicum",1890,7,"Poly","Sexual","Sexual","Sexual"
